time,temperature_2m,relative_humidity_2m,wind_speed_10m
2024-09-30T11:00,13.5,51,17.1
2024-09-28T09:00,13.6,65,19.9
2024-09-29T16:00,13.7,55,4.7
2024-09-29T11:00,13.9,55,10.0
2024-09-30T15:00,14.0,49,16.9
2024-09-28T14:00,14.1,55,18.6
2024-09-30T12:00,14.2,48,17.6
2024-09-29T12:00,14.4,49,11.5
2024-09-29T15:00,14.4,49,9.0
2024-09-30T13:00,14.4,48,17.3
2024-09-30T14:00,14.4,48,17.3
2024-09-28T11:00,14.5,56,19.3
2024-09-28T13:00,14.5,53,18.5
2024-09-29T14:00,14.5,49,9.0
2024-09-28T10:00,14.6,55,20.6
2024-09-28T12:00,14.6,54,19.6
2024-09-29T13:00,14.6,46,10.2
